Timestamp,MemorySetInMB,BilledDurationInGBSeconds
2021-08-17 14:47:12.224,512,6.677
2021-08-17 14:47:12.158,512,6.6735
2021-08-17 14:47:11.862,512,6.634
2021-08-17 14:47:11.855,512,6.4365
2021-08-17 14:47:11.790,512,6.5365
2021-08-17 14:47:11.545,512,6.442
2021-08-17 14:47:07.492,512,6.932
2021-08-17 14:47:07.401,512,6.9035
2021-08-17 14:47:06.845,512,6.612
2021-08-17 14:47:06.731,512,6.5645
2021-08-17 14:47:06.700,512,6.551
2021-08-17 14:47:06.411,512,6.3955
2021-08-17 14:47:06.374,512,6.373
2021-08-17 14:47:06.261,512,6.3165
2021-08-17 14:47:06.201,512,6.2875
2021-08-17 14:47:06.050,512,6.212
2021-08-17 14:36:52.739,512,7.197
2021-08-17 14:36:52.415,512,6.9605
2021-08-17 14:36:52.196,512,6.8165
2021-08-17 14:36:52.189,512,6.783
2021-08-17 14:36:52.031,512,6.753
2021-08-17 14:36:52.000,512,6.7535
2021-08-17 14:36:51.988,512,6.709
2021-08-17 14:36:51.582,512,6.5305
2021-08-17 14:36:51.543,512,6.442
2021-08-17 14:36:51.436,512,6.5405
2021-08-17 14:36:51.394,512,6.47
2021-08-17 14:36:51.375,512,6.456
2021-08-17 14:36:51.367,512,6.4515
2021-08-17 14:36:51.307,512,6.5085
2021-08-17 14:36:51.165,512,6.4325
2021-08-17 14:36:51.158,512,6.434
2021-08-17 14:36:50.597,512,6.16
2021-08-17 14:36:47.212,512,6.904
2021-08-17 14:36:47.087,512,6.8455
2021-08-17 14:36:46.781,512,6.6905
2021-08-17 14:36:46.384,512,6.493
2021-08-17 14:36:45.550,512,6.076
2021-08-17 14:36:45.503,512,6.0515
2021-08-17 14:36:45.193,512,5.891
2021-08-17 14:26:32.549,512,7.393
2021-08-17 14:26:31.598,512,6.7955
2021-08-17 14:26:31.517,512,6.88
2021-08-17 14:26:31.367,512,6.7585
2021-08-17 14:26:31.222,512,6.6935
2021-08-17 14:26:30.998,512,6.548
